contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_aCD226_5min,αCD3+αCD226 5min,ROCK1,17,0.8790000000000001,-0.10374654416344092,0.9560614705882352,0.7427859039510124
aCD3_aCD226_5min,αCD3+αCD226 5min,CDK2,159,0.7831383647798742,-0.7666697875569642,0.9563183647798742,0.22588603700146795
aCD3_aCD226_5min,αCD3+αCD226 5min,BCR,5,2.01,0.8600670410292273,0.849059,1.3498261700747443
aCD3_aCD226_5min,αCD3+αCD226 5min,AURKB,77,0.8364935064935064,-0.2977051150928083,0.9360348701298702,0.33436228868735496
aCD3_aCD226_5min,αCD3+αCD226 5min,MAPK8,39,1.686051282051282,1.5963422298118692,0.9180905128205127,0.4810752700072806
aCD3_aCD226_5min,αCD3+αCD226 5min,GSK3B,53,0.4864716981132076,-1.0665197603343488,0.9169133018867924,0.4035945884759261
aCD3_aCD226_5min,αCD3+αCD226 5min,CAMK2A,14,-0.17121428571428604,-1.225989216795051,0.867565,0.8472988762738353
aCD3_aCD226_5min,αCD3+αCD226 5min,MTOR,60,-0.2957000000000001,-3.2914125346131513,0.9692045833333333,0.3843044802288817
aCD3_aCD226_5min,αCD3+αCD226 5min,PKM,7,-1.1787142857142856,-1.8441820337116368,0.7641535714285714,1.053511975297039
aCD3_aCD226_5min,αCD3+αCD226 5min,PDPK1,16,2.9979375,2.5847049804944264,0.903989375,0.8101304175145938
aCD3_aCD226_5min,αCD3+αCD226 5min,CSNK1E,6,2.331666666666667,0.9611173378961132,0.9709708333333333,1.4157437179438446
aCD3_aCD226_5min,αCD3+αCD226 5min,CSNK1D,13,1.472,0.6929260898610938,0.8779600000000001,0.8572920094826896
aCD3_aCD226_5min,αCD3+αCD226 5min,CSNK1A1,13,-0.893076923076923,-2.1899725010287567,0.9574750000000001,0.8450114885952276
aCD3_aCD226_5min,αCD3+αCD226 5min,PTK6,5,2.4816000000000003,1.2124923741425224,0.9137770000000001,1.2930580294237055
aCD3_aCD226_5min,αCD3+αCD226 5min,PAK1,36,1.2637500000000002,0.6789921477185161,0.9125972222222223,0.5171676564415179
aCD3_aCD226_5min,αCD3+αCD226 5min,JAK2,14,1.3335714285714286,0.4934371129718483,0.9503100000000001,0.7767178805484266
aCD3_aCD226_5min,αCD3+αCD226 5min,MARK2,8,1.9267500000000002,0.8569613765417172,1.0148706250000001,1.0640845666579577
aCD3_aCD226_5min,αCD3+αCD226 5min,MARK3,5,2.6046000000000005,1.2865174913096111,0.8919,1.3312683360850046
aCD3_aCD226_5min,αCD3+αCD226 5min,AURKA,26,1.1174615384615385,0.3885863200305995,0.8807082692307694,0.6092681523428972
aCD3_aCD226_5min,αCD3+αCD226 5min,PAK4,6,2.6231666666666666,1.2685168772302522,0.9750191666666665,1.2992712431218525
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKCQ,24,0.9804583333333333,0.11051018613602205,0.91631,0.5804743940470433
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKG1,15,2.308133333333333,1.7576811455858918,1.056012,0.7123711467678973
aCD3_aCD226_5min,αCD3+αCD226 5min,PTK2,15,0.9190666666666666,0.054319390857443445,0.8778299999999999,0.7591518611629643
aCD3_aCD226_5min,αCD3+αCD226 5min,MAPK11,11,1.7226363636363642,0.9041539897016981,0.8827481818181817,0.9289216122303254
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKCB,21,1.5596190476190477,0.8311225783228641,0.9800142857142856,0.6973757867032755
aCD3_aCD226_5min,αCD3+αCD226 5min,MAPK9,11,2.4700909090909096,1.7137049315597876,0.930480909090909,0.8984102056581418
aCD3_aCD226_5min,αCD3+αCD226 5min,CHUK,8,2.5703750000000003,1.5752718363925025,0.8979531249999999,1.0616719199588938
aCD3_aCD226_5min,αCD3+αCD226 5min,ULK1,9,0.17644444444444443,-0.6521007205626205,0.8705516666666666,1.064417198655078
aCD3_aCD226_5min,αCD3+αCD226 5min,RPS6KB1,19,1.2745789473684213,0.5380252687115723,0.8872442105263157,0.7199192293879977
aCD3_aCD226_5min,αCD3+αCD226 5min,PIM1,13,1.9313846153846157,1.107923911924062,0.9708634615384617,0.8669558834397546
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKCI,11,1.365,0.3547483934877033,1.0408045454545456,0.9138743416372709
aCD3_aCD226_5min,αCD3+αCD226 5min,BRAF,7,2.4935714285714283,1.4164861306984153,0.893095,1.1298920574550875
aCD3_aCD226_5min,αCD3+αCD226 5min,RPS6KA1,29,2.159586206896552,2.3272717373948724,0.9010239655172415,0.5407886931107296
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKD1,15,2.8415999999999997,2.1981746333144665,0.9368716666666667,0.8665045554007383
aCD3_aCD226_5min,αCD3+αCD226 5min,RAF1,7,2.5761428571428575,1.374544734095661,0.9260907142857142,1.2004353892074264
aCD3_aCD226_5min,αCD3+αCD226 5min,RPS6KA3,11,1.912181818181818,0.9680997409300354,1.0107954545454545,0.9310883223358973
